,Unnamed: 0,Unnamed: 0.1,patch_size,s,n_components,nor,remove_components,k_min,k_max,k,kurt,bpd,bpd_field,H_receptive,H_signal,H_signal_white,H_neighbor,H_signal_sparse,H_signal_gauss,H_joint,H_cond,CE_gaussian,var_diff,var_sum,local_var,total_var,H_output,KL,d_ruzsa_add,d_ruzsa,d_ruzsa_,negH_diff,negH_diff_avg,negH_sum,H_max,lhd,mean,class
25,25,4,126.0,14.0,57.0,2.0,0.0,0.0,0.0,0.0,0.30374318,0.0,0.0,,,80.87949,80.87949,81.97485,81.18437,-1.0,-1.0,99.015434,0.9573074,0.013215658,0.99748194,0.7532925,-156.61165,18.135939,-1.0,0.0,0.0,0.019630194,0.00033430665,0.18300098,,0.0,0.7520615,6
26,26,5,154.0,14.0,58.0,2.0,0.0,0.0,0.0,0.0,0.06926043,0.0,0.0,,,82.29843,82.29843,83.30811,82.361626,-1.0,-1.0,103.80048,1.0374589,0.030232312,0.97194684,1.7534741,-133.65926,21.502048,-1.0,0.0,0.0,0.015455274,0.00025834574,0.17774022,,0.0,0.73894304,6
27,27,6,182.0,14.0,55.0,2.0,0.0,0.0,0.0,0.0,-0.16903548,0.0,0.0,,,78.04162,78.04162,79.01297,78.01341,-1.0,-1.0,102.26146,1.3576179,0.084340245,0.9146341,4.6387134,-87.58065,24.21984,-1.0,0.0,0.0,0.019352064,0.00038757073,0.16963284,,0.0,0.7383808,6
28,28,0,14.0,14.0,80.0,2.0,0.0,0.0,0.0,0.0,-0.00016240477,0.0,0.0,823.6087,137.0134,113.51508,113.51508,114.217514,113.356926,-1.0,-1.0,153.14557,1.9642454,0.0037139065,0.9923321,0.29711252,-247.26402,39.630486,-1.0,0.0,0.0,0.0009051587,1.1497295e-05,0.25545958,2.8196335,0.0,0.4668737,7
29,29,1,42.0,14.0,80.0,2.0,0.0,0.0,0.0,0.0,-0.00078674854,0.0,0.0,7464.792,160.74263,113.51508,113.51508,113.25815,112.46095,-1.0,-1.0,151.0206,1.9123325,0.0047605103,0.9688863,0.38084084,-255.08624,37.505516,-1.0,0.0,0.0,0.0012952407,1.638804e-05,0.24944642,2.829519,0.0,0.42339545,7
30,30,2,70.0,14.0,80.0,2.0,0.0,0.0,0.0,0.0,-0.0023566126,0.0,0.0,20744.355,182.2227,113.51508,113.51508,113.88824,113.05375,-1.0,-1.0,153.6328,1.9767617,0.0066786157,0.981788,0.53428924,-255.63884,40.117714,-1.0,0.0,0.0,0.0016212419,2.0246542e-05,0.2476621,2.8301191,0.0,0.4378882,7
31,31,3,98.0,14.0,80.0,2.0,0.0,0.0,0.0,0.0,0.0070420713,0.0,0.0,40617.938,205.57552,113.51508,113.51508,113.62561,112.813835,-1.0,-1.0,152.63705,1.9521924,0.009638626,0.9728304,0.7710901,-249.00317,39.12197,-1.0,0.0,0.0,0.0024817772,3.18427e-05,0.247081,2.8286963,0.0,0.48033127,7
32,32,4,126.0,14.0,80.0,2.0,0.0,0.0,0.0,0.0,-0.0036116391,0.0,0.0,,,113.51508,113.51508,113.596054,112.75229,-1.0,-1.0,152.8431,1.9552319,0.014383202,0.966547,1.1506562,-232.54095,39.32801,-1.0,0.0,0.0,0.0037839322,4.7350553e-05,0.23359391,,0.0,0.39026916,7
33,33,5,154.0,14.0,80.0,2.0,0.0,0.0,0.0,0.0,-0.00066096784,0.0,0.0,,,113.51508,113.51508,113.73196,112.88469,-1.0,-1.0,152.9114,1.9556569,0.02388975,0.9603504,1.91118,-212.74013,39.396324,-1.0,0.0,0.0,0.0066640372,8.429928e-05,0.25157046,,0.0,0.57763976,7
34,34,6,182.0,14.0,80.0,2.0,0.0,0.0,0.0,0.0,0.008146191,0.0,0.0,,,113.51508,113.51508,114.00208,113.20039,-1.0,-1.0,153.17133,1.9631869,0.05922448,0.93290836,4.7379584,-171.07301,39.656242,-1.0,0.0,0.0,0.014651001,0.00019665521,0.25074795,,0.0,0.41097307,7
0,0,0,14.0,14.0,10.0,2.0,0.0,0.0,0.0,0.0,9.785751,0.0,0.0,-257.8884,23.60298,14.189385,14.189385,12.727459,14.188241,-1.0,-1.0,16.10012,0.8264273,0.029631743,0.9701394,0.29631743,-21.021112,1.9107352,-1.0,0.0,0.0,0.15663591,0.015504452,0.039183408,0.9803528,0.0,0.5388889,8
1,1,1,42.0,14.0,11.0,2.0,0.0,0.0,0.0,0.0,2.6878936,0.0,0.0,753.0735,42.68653,15.608324,15.608324,14.71343,15.597494,-1.0,-1.0,14.876129,0.48416862,0.053797554,0.9442335,0.5917731,-40.420273,-0.7321947,-1.0,0.0,0.0,0.042677924,0.00381838,0.047139287,1.5612427,0.0,0.5277778,8
2,2,2,70.0,14.0,17.0,2.0,0.0,0.0,0.0,0.0,0.7699847,0.0,0.0,8760.533,72.036224,24.121956,24.121956,24.219791,24.586882,-1.0,-1.0,24.70191,0.59495413,0.075901344,0.978796,1.2903229,-75.498566,0.579955,-1.0,0.0,0.0,0.011934355,0.00070448173,0.07257101,2.014893,0.0,0.5361111,8
3,3,3,98.0,14.0,19.0,2.0,0.0,0.0,0.0,0.0,1.68039,0.0,0.0,16914.475,88.54866,26.959831,26.959831,27.429808,27.269234,-1.0,-1.0,26.501192,0.5417001,0.098526895,0.93404186,1.872011,-78.82485,-0.45864004,-1.0,0.0,0.0,0.02952989,0.0015610746,0.0814252,2.0060022,0.0,0.55277777,8
