,patch_size,s,n_components,nor,remove_components,k_min,k_max,k,kurt,bpd,bpd_field,H_receptive,H_signal,H_signal_white,H_neighbor,H_signal_sparse,H_signal_gauss,H_joint,H_cond,CE_gaussian,var_diff,var_sum,local_var,total_var,H_output,KL,d_ruzsa_add,d_ruzsa,d_ruzsa_,negH_diff,negH_diff_avg,negH_sum,H_max,lhd,4mean,class
4,20.0,2.0,56.0,2.0,0.0,0.0,0.0,0.0,6.7910028,14.75164,12.469713,484.7469,138.3318,79.460556,79.460556,78.32171,78.99463,-1.0,-1.0,81.66658,1.0777605,0.11805219,0.8653076,6.610923,-35.178867,2.2060223,-1.0,0.0,0.0,0.22485471,0.004015253,0.032624938,1.8228942,0.557947,0.733625,3
5,22.0,2.0,63.0,2.0,0.0,0.0,0.0,0.0,5.8183956,14.440665,12.56745,618.6526,157.7345,89.39313,89.39313,88.361176,88.94656,-1.0,-1.0,93.42182,1.1269089,0.1410733,0.84475,8.887618,-27.72209,4.028694,-1.0,0.0,0.0,0.22131565,0.003515233,0.03237922,1.8450078,0.54213667,0.722825,3
6,24.0,2.0,70.0,2.0,0.0,0.0,0.0,0.0,4.541605,14.101047,12.664985,773.53424,177.36104,99.3257,99.3257,98.40858,98.91619,-1.0,-1.0,104.511635,1.1472708,0.17584403,0.81245536,12.309082,-12.167441,5.1859374,-1.0,0.0,0.0,0.21126032,0.0030194388,0.031751897,1.8665856,0.52906656,0.70325,3
7,26.0,2.0,75.0,2.0,0.0,0.0,0.0,0.0,3.8474448,13.740556,12.760854,958.1765,193.16888,106.42039,106.42039,105.67217,106.12006,-1.0,-1.0,111.196014,1.1265477,0.24322574,0.74876493,18.24193,12.103027,4.7756243,-1.0,0.0,0.0,0.17371994,0.0023153122,0.03707104,1.8914121,0.5176198,0.682612,3
8,28.0,2.0,79.0,2.0,0.0,0.0,0.0,0.0,2.7797174,13.42112,12.852444,1161.5557,206.81778,112.096146,112.096146,111.4914,111.921425,-1.0,-1.0,121.37546,1.2342561,0.36790568,0.6276707,29.064548,49.95875,9.279314,-1.0,0.0,0.0,0.12356101,0.0015684064,0.03668408,1.9127972,0.5089988,0.64343,3
9,30.0,2.0,82.0,2.0,0.0,0.0,0.0,0.0,1.1164845,13.172385,12.9383545,1384.5752,218.08202,116.35296,116.35296,115.943,116.32624,-1.0,-1.0,119.86395,1.0851756,0.6396962,0.35965052,52.455086,94.05678,3.510993,-1.0,0.0,0.0,0.0351493,0.0004302357,0.034324214,1.9317441,0.5046679,0.595552,3
0,12.0,2.0,35.0,2.0,0.0,0.0,0.0,0.0,7.6442137,15.425416,12.179165,165.21236,77.03847,49.66285,49.66285,48.513386,49.337757,-1.0,-1.0,53.286564,1.2042061,0.07491176,0.9065116,2.6219115,-47.28312,3.6237152,-1.0,0.0,0.0,0.14788319,0.0042255577,0.034576442,1.8013746,0.7027815,0.67113,4
1,14.0,2.0,45.0,2.0,0.0,0.0,0.0,0.0,6.784151,15.606147,12.095677,237.84956,100.22261,63.852234,63.852234,62.592815,63.41657,-1.0,-1.0,70.503136,1.2923517,0.073369585,0.9072672,3.3016312,-60.727825,6.650902,-1.0,0.0,0.0,0.17932723,0.0039839256,0.029452104,1.8234446,0.6931517,0.674376,4
2,16.0,2.0,55.0,2.0,0.0,0.0,0.0,0.0,6.0463786,15.578399,12.113154,319.88718,124.38149,78.04162,78.04162,76.71705,77.51072,-1.0,-1.0,86.41526,1.3002924,0.07681837,0.9038762,4.2250104,-65.82324,8.373641,-1.0,0.0,0.0,0.20654744,0.0037548046,0.030757744,1.8354583,0.6910271,0.671363,4
3,18.0,2.0,65.0,2.0,0.0,0.0,0.0,0.0,4.4822173,15.38543,12.173703,415.0479,149.29735,92.231,92.231,90.931015,91.60553,-1.0,-1.0,101.37415,1.2767261,0.08585293,0.89490193,5.5804405,-69.2071,9.143148,-1.0,0.0,0.0,0.18457294,0.0028387902,0.029887203,1.8459426,0.69593626,0.667061,4
4,20.0,2.0,74.0,2.0,0.0,0.0,0.0,0.0,5.2458143,15.034623,12.253647,539.5627,172.5779,105.00145,105.00145,103.494484,104.280495,-1.0,-1.0,115.04632,1.2667459,0.104996,0.8755187,7.7697043,-61.079643,10.044867,-1.0,0.0,0.0,0.25370517,0.0034287595,0.03632736,1.8685741,0.7073005,0.667344,4
