,patch_size,s,n_components,nor,remove_components,k_min,k_max,k,kurt,bpd,bpd_field,H_receptive,H_signal,H_signal_white,H_neighbor,H_signal_sparse,H_signal_gauss,H_joint,H_cond,CE_gaussian,var_diff,var_sum,local_var,total_var,H_output,KL,d_ruzsa_add,d_ruzsa,d_ruzsa_,negH_diff,negH_diff_avg,negH_sum,H_max,lhd,mean,sum,class
2,16.0,2.0,55.0,2.0,0.0,0.4106302,2.756402,6.712614,0.51946515,19.47268,12.752117,235.76031,114.16774,78.04162,85.84927,78.3318,78.04374,-1.0,-1.0,101.1689,1.6835265,0.008450239,0.99162704,0.46476313,-128.7668,15.319623,-1.0,7.8076577,7.8076577,0.00924633,0.00016877093,0.008815595,2.4818347,0.7671678,0.8540202,0.8540202,6
3,18.0,2.0,65.0,2.0,0.0,0.6379443,2.9202747,4.577633,0.42721152,18.55788,12.797483,282.10025,134.37794,92.231,102.8796,92.685326,92.23354,-1.0,-1.0,121.161446,1.7362561,0.017625403,0.98245275,1.1456512,-144.3927,18.281847,-1.0,10.648593,10.648593,0.0079381615,0.00012184038,0.0125365,2.4534428,0.8528848,0.9032071,0.9032071,6
4,20.0,2.0,73.0,2.0,0.0,0.5127401,2.8425946,5.543929,0.43890265,17.223236,12.829638,315.87595,149.38448,103.58251,117.804504,104.047615,103.585754,-1.0,-1.0,137.9057,1.7967817,0.034061816,0.96602684,2.4865124,-130.89478,20.101194,-1.0,14.221993,14.221993,0.010099445,0.0001386569,0.012806481,2.4034503,0.9013603,0.9340495,0.9340495,6
5,22.0,2.0,77.0,2.0,0.0,0.4181013,2.790732,6.674774,0.397903,15.686279,12.808998,324.89676,155.50822,109.25827,126.460464,109.63534,109.2619,-1.0,-1.0,147.41965,1.8689167,0.059955962,0.9401385,4.616609,-105.13589,20.959179,-1.0,17.202202,17.202202,0.0068070614,8.985754e-05,0.017040987,2.313618,0.9295908,0.96538323,0.96538323,6
6,24.0,2.0,76.0,2.0,0.0,0.6836827,2.5580404,3.741561,0.42611277,14.265841,12.755509,300.33905,151.49292,107.839325,126.95342,108.010605,107.84353,-1.0,-1.0,146.70488,1.9223361,0.112030156,0.8880801,8.514292,-55.2393,19.751453,-1.0,19.114098,19.114098,0.0074773347,9.851313e-05,0.041670177,2.1918619,0.925264,0.988302,0.988302,6
7,26.0,2.0,72.0,2.0,0.0,0.86326337,2.8182483,3.2646449,0.46939576,13.237689,12.706103,239.81636,141.6015,102.163574,120.79629,102.25114,102.16617,-1.0,-1.0,141.38936,2.0041797,0.24173917,0.75833297,17.40522,10.582666,20.59307,-1.0,18.632715,18.632715,0.009991164,0.00014143746,0.045127474,2.032484,0.84530884,0.9950739,0.9950739,6
0,12.0,2.0,29.0,2.0,0.0,0.30631286,2.8352294,9.255992,1.4193708,18.503695,12.473919,132.96104,62.21054,41.149216,41.139217,40.924107,41.151054,-1.0,-1.0,49.255424,1.3618019,0.0028642511,0.99726236,0.08306328,-78.964935,8.116207,-1.0,0.009999892,-0.009999892,0.018971026,0.00065312744,0.01629632,2.3419342,0.7660752,0.82630414,0.82630414,7
1,14.0,2.0,37.0,2.0,0.0,0.28636727,2.757383,9.628835,1.0884312,18.558273,12.490356,178.09161,79.92809,52.500725,53.577076,52.49999,52.504284,-1.0,-1.0,63.33773,1.383546,0.00608608,0.9941062,0.22518496,-86.70567,9.760655,-1.0,1.0763491,1.0763491,0.018101938,0.00048816687,0.012548723,2.3566597,0.85304564,0.76783335,0.76783335,7
2,16.0,2.0,46.0,2.0,0.0,0.3602049,2.613996,7.2569695,0.6753611,18.257425,12.544344,225.46281,98.94562,65.27117,67.92652,65.51246,65.273415,-1.0,-1.0,79.88683,1.4455736,0.01292156,0.9871761,0.59439176,-96.025566,11.960315,-1.0,2.6553462,2.6553462,0.0112603605,0.00024278587,0.014610909,2.3573775,0.90410435,0.81027013,0.81026965,7
3,18.0,2.0,56.0,2.0,0.0,0.29813936,2.4590254,8.247906,0.7735987,17.631468,12.6179,271.66965,118.64717,79.460556,84.332466,79.70475,79.463394,-1.0,-1.0,98.530785,1.5152961,0.024460807,0.97564036,1.3698052,-109.49129,14.198318,-1.0,4.871909,4.871909,0.014865229,0.0002627295,0.01324258,2.3444235,0.9244027,0.88357127,0.88357127,7
4,20.0,2.0,64.0,2.0,0.0,0.3851699,2.3807042,6.1809196,0.7790787,16.541279,12.661008,309.1081,133.40518,90.812065,98.5033,91.14425,90.8155,-1.0,-1.0,113.64801,1.5716342,0.04421522,0.955892,2.8297741,-100.07689,15.144709,-1.0,7.691235,7.691235,0.019839827,0.00030914473,0.017488543,2.3118844,0.93239206,0.9020689,0.9020689,7
